Episode,Score,Duration
1,170,2.164
2,90,2.78
3,130,2.722
4,110,2.779
5,170,2.73
6,50,2.803
7,50,2.717
8,90,2.749
9,90,2.681
10,170,2.749
11,220,2.686
12,420,2.76
13,70,2.687
14,70,2.758
15,320,2.691
16,90,2.748
17,210,2.711
18,100,2.746
19,190,2.719
20,190,2.819
21,50,2.722
22,150,2.77
23,90,2.718
24,140,2.767
25,330,2.715
26,310,2.778
27,170,2.724
28,150,2.81
29,220,2.839
30,180,2.819
31,40,2.758
32,250,2.769
33,110,2.766
34,380,2.764
35,210,2.799
36,150,2.826
37,190,2.901
38,430,2.741
39,220,2.824
40,270,2.833
41,360,2.734
42,160,2.757
43,230,3.115
44,150,3.363
45,370,3.458
46,410,3.395
47,200,3.3
48,180,3.297
49,180,3.295
50,150,3.288
51,110,3.307
52,190,3.348
53,230,3.294
54,190,3.304
55,200,3.289
56,490,3.298
57,230,3.298
58,340,3.307
59,240,3.299
60,160,3.306
61,320,3.298
62,550,3.305
63,330,3.302
64,300,3.305
65,410,3.337
66,140,3.304
67,500,3.329
68,310,3.304
69,250,3.321
70,290,3.306
71,200,3.312
72,200,3.319
73,190,3.313
74,250,3.298
75,150,3.313
76,400,3.319
77,130,3.317
78,260,3.303
79,120,3.316
80,230,3.324
81,70,3.334
82,180,3.325
83,240,3.328
84,260,3.331
85,110,3.339
86,130,3.333
87,320,3.338
88,90,3.327
89,80,3.34
90,180,3.338
91,400,3.347
92,250,3.338
93,60,3.345
94,90,3.337
95,100,3.344
96,90,3.328
97,430,3.34
98,310,3.336
99,140,3.362
100,450,3.354
101,180,3.348
102,100,3.371
103,160,3.352
104,300,3.348
105,390,3.346
106,250,3.365
107,120,3.36
108,270,3.363
109,160,3.364
110,540,3.376
111,270,3.368
112,190,3.412
113,300,3.551
114,300,3.54
115,530,3.491
116,250,3.362
117,170,3.361
118,310,3.356
119,230,3.408
120,600,3.372
121,360,3.358
122,580,3.353
123,410,3.367
124,650,3.358
125,270,3.359
126,320,3.365
127,240,3.358
128,270,3.361
129,460,3.362
130,270,3.363
131,240,3.38
132,110,3.363
133,130,3.367
134,280,3.4
135,160,3.374
136,180,3.372
137,140,3.37
138,120,3.377
139,420,3.395
140,130,3.38
141,190,3.382
142,130,3.391
143,650,3.394
144,250,3.395
145,400,3.387
146,240,3.4
147,560,3.4
148,580,3.419
149,520,3.386
150,630,3.407
151,390,3.397
152,690,3.41
153,180,3.411
154,220,3.392
155,490,3.411
156,260,3.391
157,210,3.397
158,170,3.39
159,220,3.496
160,150,3.495
161,450,3.491
162,120,3.597
163,490,3.494
164,110,3.43
165,550,4.261
166,530,3.412
167,450,3.395
168,590,3.414
169,580,3.421
170,300,3.426
171,200,3.415
172,260,3.412
173,430,3.428
174,250,3.431
175,340,3.401
176,290,3.432
177,530,3.435
178,130,3.425
179,100,3.429
180,260,3.397
181,270,3.435
182,590,3.42
183,780,3.437
184,240,3.432
185,250,3.582
186,320,3.513
187,810,3.559
188,500,3.425
189,600,3.419
190,230,3.419
191,670,3.411
192,470,3.42
193,280,3.417
194,210,3.427
195,380,3.411
196,210,3.44
197,190,3.421
198,210,3.426
199,190,3.435
200,150,3.415
201,130,3.427
202,580,3.435
203,270,3.458
204,280,3.425
205,700,3.447
206,590,3.458
207,180,3.456
208,420,3.448
209,50,3.436
210,420,3.464
211,280,3.426
212,190,3.444
213,210,3.441
214,430,3.452
215,180,3.456
216,310,3.458
217,190,3.447
218,170,3.458
219,260,3.425
220,190,3.452
221,460,3.466
222,540,3.47
223,490,3.448
224,320,3.438
225,740,3.461
226,770,3.464
227,270,3.464
228,310,3.447
229,980,3.546
230,480,3.603
231,270,3.548
232,380,3.488
233,310,3.521
234,260,3.458
235,290,3.475
236,550,3.481
237,420,3.462
238,160,3.488
239,230,3.467
240,230,3.547
241,580,3.609
242,730,3.579
243,680,3.797
244,440,3.67
245,640,3.665
246,650,3.57
247,500,3.558
248,230,3.524
249,650,3.631
250,430,3.614
251,260,3.599
252,440,3.586
253,210,3.614
254,1010,3.597
255,340,3.541
256,440,3.511
257,600,3.523
258,870,3.49
259,810,3.496
260,900,3.509
261,190,3.501
262,390,3.632
263,990,3.523
264,290,3.53
265,360,3.487
266,480,3.499
267,150,3.517
268,310,3.528
269,520,3.486
270,420,3.611
271,380,3.564
272,190,3.538
273,550,3.535
274,190,3.539
275,180,3.519
276,770,3.514
277,240,3.528
278,460,3.529
279,410,3.523
280,250,3.59
281,530,3.599
282,680,3.536
283,670,3.513
284,260,3.506
285,310,3.504
286,550,3.545
287,340,3.744
288,390,3.637
289,240,3.604
290,340,3.663
291,670,3.619
292,770,3.501
293,350,3.583
294,290,3.537
295,590,3.538
296,610,3.588
297,500,3.611
298,700,3.54
299,240,3.566
300,810,3.537
301,580,3.584
302,410,3.531
303,390,3.528
304,510,3.522
305,860,3.63
306,820,3.558
